external_gene_name	ensembl_gene_id
COQ7	ENSG00000167186
GPRC5B	ENSG00000167191
CRK	ENSG00000167193
C16orf92	ENSG00000167194
GOLGA6C	ENSG00000167195
FBXO22	ENSG00000167196
TBC1D2B	ENSG00000167202
NOD2	ENSG00000167207
SNX20	ENSG00000167208
LOXHD1	ENSG00000167210
KATNAL2	ENSG00000167216
HDHD2	ENSG00000167220
ZNF91	ENSG00000167232
IGF2	ENSG00000167244
RNF214	ENSG00000167257
CDK12	ENSG00000167258
DPEP2	ENSG00000167261
DUS2	ENSG00000167264
POP5	ENSG00000167272
ENGASE	ENSG00000167280
RBFOX3	ENSG00000167281
ATP5MG	ENSG00000167283
CD3D	ENSG00000167286
TBC1D16	ENSG00000167291
TEPSIN	ENSG00000167302
MYO5B	ENSG00000167306
ART5	ENSG00000167311
ACAA2	ENSG00000167315
STIM1	ENSG00000167323
RRM1	ENSG00000167325
OR51E2	ENSG00000167332
TRIM68	ENSG00000167333
MMP26	ENSG00000167346
OR51B5	ENSG00000167355
OR51I1	ENSG00000167359
OR51Q1	ENSG00000167360
FN3K	ENSG00000167363
PRRT2	ENSG00000167371
ZNF23	ENSG00000167377
IRGQ	ENSG00000167378
ZNF226	ENSG00000167380
ZNF180	ENSG00000167384
POM121L3P	ENSG00000167390
PPP2R3B	ENSG00000167393
ZNF668	ENSG00000167394
ZNF646	ENSG00000167395
VKORC1	ENSG00000167397
GNG8	ENSG00000167414
LPO	ENSG00000167419
CA4	ENSG00000167434
SMG8	ENSG00000167447
LINC00905	ENSG00000167459
TPM4	ENSG00000167460
RAB8A	ENSG00000167461
GPX4	ENSG00000167468
MIDN	ENSG00000167470
JSRP1	ENSG00000167476
NIBAN3	ENSG00000167483
KLHL26	ENSG00000167487
GATAD2A	ENSG00000167491
NOS2P2	ENSG00000167494
MVD	ENSG00000167508
CDT1	ENSG00000167513
TRAPPC2L	ENSG00000167515
ANKRD11	ENSG00000167522
SPATA33	ENSG00000167523
RSKR	ENSG00000167524
PROCA1	ENSG00000167525
RPL13	ENSG00000167526
ZNF641	ENSG00000167528
LALBA	ENSG00000167531
CACNB3	ENSG00000167535
DHRS13	ENSG00000167536
TP53I13	ENSG00000167543
KMT2D	ENSG00000167548
CORO6	ENSG00000167549
RHEBL1	ENSG00000167550
TUBA1A	ENSG00000167552
TUBA1C	ENSG00000167553
ZNF610	ENSG00000167554
ZNF528	ENSG00000167555
ZNF701	ENSG00000167562
SERTAD3	ENSG00000167565
NCKAP5L	ENSG00000167566
RAB4B	ENSG00000167578
AQP2	ENSG00000167580
GPD1	ENSG00000167588
PROSER3	ENSG00000167595
CYP2S1	ENSG00000167600
AXL	ENSG00000167601
NFKBID	ENSG00000167604
TMC4	ENSG00000167608
ANKRD33	ENSG00000167612
LAIR1	ENSG00000167613
TTYH1	ENSG00000167614
LENG8	ENSG00000167615
CDC42EP5	ENSG00000167617
LAIR2	ENSG00000167618
TMEM145	ENSG00000167619
ZNF526	ENSG00000167625
TRAPPC9	ENSG00000167632
KIR3DL1	ENSG00000167633
NLRP7	ENSG00000167634
ZNF146	ENSG00000167635
ZNF283	ENSG00000167637
PPP1R14A	ENSG00000167641
SPINT2	ENSG00000167642
C19orf33	ENSG00000167644
YIF1B	ENSG00000167645
DNAAF3	ENSG00000167646
PSCA	ENSG00000167653
ATCAY	ENSG00000167654
LY6D	ENSG00000167656
DAPK3	ENSG00000167657
EEF2	ENSG00000167658
TMIGD2	ENSG00000167664
CHAF1A	ENSG00000167670
UBXN6	ENSG00000167671
HDGFL2	ENSG00000167674
PLIN4	ENSG00000167676
SEMA6B	ENSG00000167680
ZNF444	ENSG00000167685
NXN	ENSG00000167693
TLCD3A	ENSG00000167695
GLOD4	ENSG00000167699
MFSD3	ENSG00000167700
GPT	ENSG00000167701
KIFC2	ENSG00000167702
SLC43A2	ENSG00000167703
RILP	ENSG00000167705
SERPINF2	ENSG00000167711
WDR81	ENSG00000167716
SRR	ENSG00000167720
TSR1	ENSG00000167721
TRPV3	ENSG00000167723
HSD11B1L	ENSG00000167733
CYB5D2	ENSG00000167740
GGT6	ENSG00000167741
C19orf48	ENSG00000167747
KLK1	ENSG00000167748
KLK4	ENSG00000167749
KLK2	ENSG00000167751
KLK5	ENSG00000167754
KLK6	ENSG00000167755
KLK11	ENSG00000167757
KLK13	ENSG00000167759
ZNF83	ENSG00000167766
KRT80	ENSG00000167767
KRT1	ENSG00000167768
ACER1	ENSG00000167769
OTUB1	ENSG00000167770
RCOR2	ENSG00000167771
ANGPTL4	ENSG00000167772
AC010323.1	ENSG00000167774
CD320	ENSG00000167775
SPRYD3	ENSG00000167778
IGFBP6	ENSG00000167779
SOAT2	ENSG00000167780
ZNF558	ENSG00000167785
CABP2	ENSG00000167791
NDUFV1	ENSG00000167792
CDK2AP2	ENSG00000167797
C3P1	ENSG00000167798
NUDT8	ENSG00000167799
TBX10	ENSG00000167800
AC011511.1	ENSG00000167807
PRDX2	ENSG00000167815
OR8J3	ENSG00000167822
OR5I1	ENSG00000167825
ZNF232	ENSG00000167840
MIS12	ENSG00000167842
CD300C	ENSG00000167850
CD300A	ENSG00000167851
TEKT1	ENSG00000167858
HID1	ENSG00000167861
MRPL58	ENSG00000167862
ATP5PD	ENSG00000167863
TMEM88	ENSG00000167874
EVPL	ENSG00000167880
SRP68	ENSG00000167881
MGAT5B	ENSG00000167889
TMC8	ENSG00000167895
TK1	ENSG00000167900
TMEM68	ENSG00000167904
CYP7A1	ENSG00000167910
AC090152.1	ENSG00000167912
GSDMA	ENSG00000167914
KRT24	ENSG00000167916
TMEM99	ENSG00000167920
GHDC	ENSG00000167925
FAM234A	ENSG00000167930
SOST	ENSG00000167941
ZNF598	ENSG00000167962
RAB26	ENSG00000167964
MLST8	ENSG00000167965
E4F1	ENSG00000167967
DNASE1L2	ENSG00000167968
ECI1	ENSG00000167969
CASKIN1	ENSG00000167971
ABCA3	ENSG00000167972
KCTD5	ENSG00000167977
SRRM2	ENSG00000167978
ZNF597	ENSG00000167981
NLRC3	ENSG00000167984
SDHAF2	ENSG00000167985
DDB1	ENSG00000167986
VPS37C	ENSG00000167987
VWCE	ENSG00000167992
RAB3IL1	ENSG00000167994
BEST1	ENSG00000167995
FTH1	ENSG00000167996
BSCL2	ENSG00000168000
POLR2G	ENSG00000168002
SLC3A2	ENSG00000168003
PLAAT5	ENSG00000168004
SPINDOC	ENSG00000168005
ATG16L2	ENSG00000168010
C2CD3	ENSG00000168014
TRANK1	ENSG00000168016
TTC21A	ENSG00000168026
RPSA	ENSG00000168028
ENTPD3	ENSG00000168032
CTNNB1	ENSG00000168036
ULK4	ENSG00000168038
FADD	ENSG00000168040
LTBP3	ENSG00000168056
NAALADL1	ENSG00000168060
SAC3D1	ENSG00000168061
BATF2	ENSG00000168062
SLC22A11	ENSG00000168065
SF1	ENSG00000168066
MAP4K2	ENSG00000168067
MAJIN	ENSG00000168070
CCDC88B	ENSG00000168071
SCARA3	ENSG00000168077
PBK	ENSG00000168078
SCARA5	ENSG00000168079
PNOC	ENSG00000168081
COPS6	ENSG00000168090
PAFAH1B2	ENSG00000168092
ANKS3	ENSG00000168096
NUDT16L1	ENSG00000168101
KIAA1586	ENSG00000168116
RAB4A	ENSG00000168118
ZNF355P	ENSG00000168122
OR1F1	ENSG00000168124
OR2W6P	ENSG00000168126
DHFRP3	ENSG00000168129
OR2B2	ENSG00000168131
KCNJ4	ENSG00000168135
SETD5	ENSG00000168137
VASN	ENSG00000168140
FAM83B	ENSG00000168143
H3-4	ENSG00000168148
THAP9	ENSG00000168152
OR2C1	ENSG00000168158
RNF187	ENSG00000168159
HOOK3	ENSG00000168172
MAPK1IP1L	ENSG00000168175
DDIT4	ENSG00000168209
RBPJ	ENSG00000168214
LMBRD1	ENSG00000168216
ZCCHC4	ENSG00000168228
PTGDR	ENSG00000168229
TTC39C	ENSG00000168234
GLYCTK	ENSG00000168237
GNG4	ENSG00000168243
UBTD2	ENSG00000168246
POLR2J3	ENSG00000168255
NKIRAS2	ENSG00000168256
DNAJC7	ENSG00000168259
KCNV2	ENSG00000168263
IRF2BP2	ENSG00000168264
PTF1A	ENSG00000168267
NT5DC2	ENSG00000168268
FOXI1	ENSG00000168269
SMIM4	ENSG00000168273
COA6	ENSG00000168275
KIF5C	ENSG00000168280
MGAT2	ENSG00000168282
BMI1	ENSG00000168283
THAP11	ENSG00000168286
MMADHC	ENSG00000168288
PDHB	ENSG00000168291
PXK	ENSG00000168297
H1-4	ENSG00000168298
PCMTD1	ENSG00000168300
KCTD6	ENSG00000168301
MPLKIP	ENSG00000168303
ACOX2	ENSG00000168306
FAM107A	ENSG00000168309
IRF2	ENSG00000168310
MOBP	ENSG00000168314
CX3CR1	ENSG00000168329
PPDPFL	ENSG00000168333
XIRP1	ENSG00000168334
INSM2	ENSG00000168348
DEGS2	ENSG00000168350
SCN11A	ENSG00000168356
LINC00917	ENSG00000168367
ARF4	ENSG00000168374
SEPTIN2	ENSG00000168385
FILIP1L	ENSG00000168386
MFSD2A	ENSG00000168389
DTYMK	ENSG00000168393
TAP1	ENSG00000168394
ING5	ENSG00000168395
ATG4B	ENSG00000168397
BDKRB2	ENSG00000168398
MLKL	ENSG00000168404
CMAHP	ENSG00000168405
RFWD3	ENSG00000168411
MTNR1A	ENSG00000168412
KCNG4	ENSG00000168418
RHOH	ENSG00000168421
KLHL30	ENSG00000168427
COG7	ENSG00000168434
CDC40	ENSG00000168438
STIP1	ENSG00000168439
SCNN1B	ENSG00000168447
HR	ENSG00000168453
TXNDC2	ENSG00000168454
RAB31	ENSG00000168461
REEP4	ENSG00000168476
TNXB	ENSG00000168477
LGI3	ENSG00000168481
SFTPC	ENSG00000168484
BMP1	ENSG00000168487
ATXN2L	ENSG00000168488
PHYHIP	ENSG00000168490
CCDC110	ENSG00000168491
POLR3D	ENSG00000168495
FEN1	ENSG00000168496
CAVIN2	ENSG00000168497
MTCL1	ENSG00000168502
GBX2	ENSG00000168505
HJV	ENSG00000168509
SCGB1D1	ENSG00000168515
HEXIM2	ENSG00000168517
FNTA	ENSG00000168522
SERINC2	ENSG00000168528
MYL1	ENSG00000168530
TRAPPC11	ENSG00000168538
CHRM1	ENSG00000168539
COL3A1	ENSG00000168542
GFRA2	ENSG00000168546
ING2	ENSG00000168556
CDKN2AIP	ENSG00000168564
SNRNP48	ENSG00000168566
TMEM223	ENSG00000168569
SLC20A2	ENSG00000168575
CRYGA	ENSG00000168582
DYNLRB2	ENSG00000168589
TMUB2	ENSG00000168591
ADAM29	ENSG00000168594
STAT3	ENSG00000168610
ZSWIM1	ENSG00000168612
ADAM9	ENSG00000168615
ADAM18	ENSG00000168619
GDNF	ENSG00000168621
SPINT5P	ENSG00000168630
MUCL3	ENSG00000168631
WFDC13	ENSG00000168634
AXIN2	ENSG00000168646
NDUFS5	ENSG00000168653
VWA3B	ENSG00000168658
ZNF30	ENSG00000168661
UGT3A2	ENSG00000168671
LRATD2	ENSG00000168672
LDLRAD4	ENSG00000168675
KCTD19	ENSG00000168676
SLC16A4	ENSG00000168679
IL7R	ENSG00000168685
TMEM208	ENSG00000168701
LRP1B	ENSG00000168702
WFDC12	ENSG00000168703
AHCYL1	ENSG00000168710
DNAJC21	ENSG00000168724
PKIG	ENSG00000168734
NPNT	ENSG00000168743
LINC01620	ENSG00000168746
CA7	ENSG00000168748
FAM178B	ENSG00000168754
TSPY2	ENSG00000168757
SEMA4C	ENSG00000168758
CNNM3	ENSG00000168763
GSTM4	ENSG00000168765
TET2	ENSG00000168769
CXXC4	ENSG00000168772
TCTN2	ENSG00000168778
SHOX2	ENSG00000168779
PPIP5K1	ENSG00000168781
TSPAN5	ENSG00000168785
ABHD15	ENSG00000168792
ZBTB5	ENSG00000168795
CHTF8	ENSG00000168802
ADAL	ENSG00000168803
LCMT2	ENSG00000168806
SNTB2	ENSG00000168807
IL12A	ENSG00000168811
ZNF507	ENSG00000168813
STX18	ENSG00000168818
NSG1	ENSG00000168824
ZBTB49	ENSG00000168826
GFM1	ENSG00000168827
OR13J1	ENSG00000168828
HTR1E	ENSG00000168830
FSTL5	ENSG00000168843
TPTE2P5	ENSG00000168852
DDX19A	ENSG00000168872
ATOH8	ENSG00000168874
SOX14	ENSG00000168875
ANKRD49	ENSG00000168876
SFTPB	ENSG00000168878
USP39	ENSG00000168883
TNIP2	ENSG00000168884
C2orf68	ENSG00000168887
TMEM150A	ENSG00000168890
RNF181	ENSG00000168894
VAMP5	ENSG00000168899
BTNL3	ENSG00000168903
LRRC28	ENSG00000168904
MAT2A	ENSG00000168906
PLA2G4F	ENSG00000168907
ENHO	ENSG00000168913
ZNF608	ENSG00000168916
SLC35G2	ENSG00000168917
INPP5D	ENSG00000168918
LETM1	ENSG00000168924
CTRB1	ENSG00000168925
CTRB2	ENSG00000168928
TRIM49	ENSG00000168930
TMEM129	ENSG00000168936
PPIC	ENSG00000168938
SPRY3	ENSG00000168939
CEP120	ENSG00000168944
STXBP6	ENSG00000168952
TM4SF20	ENSG00000168955
MFF	ENSG00000168958
GRM5	ENSG00000168959
LGALS9	ENSG00000168961
PMCHL1	ENSG00000168967
JMJD7-PLA2G4B	ENSG00000168970
OR7E102P	ENSG00000168992
CPLX1	ENSG00000168993
PXDC1	ENSG00000168994
SIGLEC7	ENSG00000168995
NTSR2	ENSG00000169006
E2F6	ENSG00000169016
FEM1B	ENSG00000169018
COMMD8	ENSG00000169019
ATP5ME	ENSG00000169020
UQCRFS1	ENSG00000169021
SLC49A3	ENSG00000169026
COL4A3	ENSG00000169031
MAP2K1	ENSG00000169032
KLK7	ENSG00000169035
PMCHL2	ENSG00000169040
HNRNPH1	ENSG00000169045
IRS1	ENSG00000169047
MECP2	ENSG00000169057
VCX3A	ENSG00000169059
UPF3A	ENSG00000169062
ZBBX	ENSG00000169064
ACTBL2	ENSG00000169067
ROR2	ENSG00000169071
BRD7P3	ENSG00000169075
AR	ENSG00000169083
DHRSX	ENSG00000169084
VXN	ENSG00000169085
HSPBAP1	ENSG00000169087
ASMTL	ENSG00000169093
SLC25A6	ENSG00000169100
CHST14	ENSG00000169105
PARM1	ENSG00000169116
CSNK1G1	ENSG00000169118
FAM110B	ENSG00000169122
ARMC4	ENSG00000169126
AFAP1L2	ENSG00000169129
ZNF354A	ENSG00000169131
ATF5	ENSG00000169136
UBE2V2	ENSG00000169139
GOT1L1	ENSG00000169154
ZBTB43	ENSG00000169155
AL159987.1	ENSG00000169164
CPT1C	ENSG00000169169
PCSK9	ENSG00000169174
XPO6	ENSG00000169180
GSG1L	ENSG00000169181
MN1	ENSG00000169184
APEX2	ENSG00000169188
NSMCE1	ENSG00000169189
CCDC126	ENSG00000169193
IL13	ENSG00000169194
NPIPB12	ENSG00000169203
OR10G3	ENSG00000169208
RAB3B	ENSG00000169213
OR6F1	ENSG00000169214
CD2BP2	ENSG00000169217
RSPO1	ENSG00000169218
RGS14	ENSG00000169220
TBC1D10B	ENSG00000169221
LMAN2	ENSG00000169223
GCSAML	ENSG00000169224
RAB24	ENSG00000169228
PRELID1	ENSG00000169230
THBS3	ENSG00000169231
CA5B	ENSG00000169239
SLC50A1	ENSG00000169241
EFNA1	ENSG00000169242
CXCL10	ENSG00000169245
NPIPB3	ENSG00000169246
SH3TC2	ENSG00000169247
CXCL11	ENSG00000169248
ZRSR2	ENSG00000169249
NMD3	ENSG00000169251
ADRB2	ENSG00000169252
AL669983.1	ENSG00000169253
B3GALNT1	ENSG00000169255
GPRIN1	ENSG00000169258
HSPB3	ENSG00000169271
KCNAB1	ENSG00000169282
MRPL1	ENSG00000169288
SHE	ENSG00000169291
NR0B1	ENSG00000169297
PGM2	ENSG00000169299
STK32A	ENSG00000169302
IL1RAPL1	ENSG00000169306
P2RY12	ENSG00000169313
C22orf15	ENSG00000169314
GUSBP12	ENSG00000169325
OR5AU1	ENSG00000169327
MINAR1	ENSG00000169330
PDILT	ENSG00000169340
UMOD	ENSG00000169344
GP2	ENSG00000169347
SLC33A1	ENSG00000169359
SNUPN	ENSG00000169371
CRADD	ENSG00000169372
SIN3A	ENSG00000169375
ARL13B	ENSG00000169379
RNASE2	ENSG00000169385
ELSPBP1	ENSG00000169393
RNASE3	ENSG00000169397
PTK2	ENSG00000169398
RSPH10B2	ENSG00000169402
PTAFR	ENSG00000169403
PTPN9	ENSG00000169410
RNASE6	ENSG00000169413
NPR1	ENSG00000169418
KCNK9	ENSG00000169427
CXCL8	ENSG00000169429
SCN9A	ENSG00000169432
RASSF6	ENSG00000169435
COL22A1	ENSG00000169436
SDC2	ENSG00000169439
CD52	ENSG00000169442
MMGT1	ENSG00000169446
SPRR1B	ENSG00000169469
SPRR1A	ENSG00000169474
OR4K14	ENSG00000169484
OR4K15	ENSG00000169488
TM2D2	ENSG00000169490
HTRA4	ENSG00000169495
PLEKHA2	ENSG00000169499
CLIC4	ENSG00000169504
SLC38A11	ENSG00000169507
GPR183	ENSG00000169508
CRCT1	ENSG00000169509
CCDC8	ENSG00000169515
METTL15	ENSG00000169519
ZNF280A	ENSG00000169548
MUC15	ENSG00000169550
CT55	ENSG00000169551
ZEB2	ENSG00000169554
GJB1	ENSG00000169562
PCBP1	ENSG00000169564
HINT1	ENSG00000169567
DTWD2	ENSG00000169570
VPREB1	ENSG00000169575
CLIC3	ENSG00000169583
INO80E	ENSG00000169592
BNC1	ENSG00000169594
DFFB	ENSG00000169598
NFU1	ENSG00000169599
ANTXR1	ENSG00000169604
GKN1	ENSG00000169605
CKAP2L	ENSG00000169607
C15orf40	ENSG00000169609
RAMAC	ENSG00000169612
PROKR1	ENSG00000169618
APLF	ENSG00000169621
BOLA2B	ENSG00000169627
RGPD8	ENSG00000169629
HIC2	ENSG00000169635
LUZP1	ENSG00000169641
HEXD	ENSG00000169660
BCRP6	ENSG00000169662
BCRP2	ENSG00000169668
DRD5	ENSG00000169676
BUB1	ENSG00000169679
SPNS1	ENSG00000169682
LRRC45	ENSG00000169683
CHRNA5	ENSG00000169684
MT1B	ENSG00000169688
CENPX	ENSG00000169689
AGPAT2	ENSG00000169692
ASPSCR1	ENSG00000169696
GP9	ENSG00000169704
FASN	ENSG00000169710
CNBP	ENSG00000169714
MT1E	ENSG00000169715
ACTRT2	ENSG00000169717
DUS1L	ENSG00000169718
GPS1	ENSG00000169727
RFNG	ENSG00000169733
DCXR	ENSG00000169738
ZNF32	ENSG00000169740
LDB2	ENSG00000169744
RAC3	ENSG00000169750
NRG4	ENSG00000169752
LIMS1	ENSG00000169756
TMEM266	ENSG00000169758
NLGN1	ENSG00000169760
TAPT1	ENSG00000169762
PRYP3	ENSG00000169763
UGP2	ENSG00000169764
TAS2R1	ENSG00000169777
LINGO1	ENSG00000169783
PRY	ENSG00000169789
RBMY1F	ENSG00000169800
PRY2	ENSG00000169807
RBMY1HP	ENSG00000169811
HNRNPF	ENSG00000169813
BTD	ENSG00000169814
CSGALNACT2	ENSG00000169826
TACR3	ENSG00000169836
GSX1	ENSG00000169840
TSPY14P	ENSG00000169849
PCDH7	ENSG00000169851
ROBO1	ENSG00000169855
ONECUT1	ENSG00000169856
AVEN	ENSG00000169857
P2RY1	ENSG00000169860
CTNND2	ENSG00000169862
TRIM56	ENSG00000169871
MUC17	ENSG00000169876
AHSP	ENSG00000169877
WNT10B	ENSG00000169884
CALML6	ENSG00000169885
REPS2	ENSG00000169891
MUC3A	ENSG00000169894
SYAP1	ENSG00000169895
ITGAM	ENSG00000169896
PYDC1	ENSG00000169900
TPST1	ENSG00000169902
TM4SF4	ENSG00000169903
TOR1AIP2	ENSG00000169905
S100G	ENSG00000169906
TM4SF1	ENSG00000169908
OTUD3	ENSG00000169914
OTUD7A	ENSG00000169918
GUSB	ENSG00000169919
BRD3	ENSG00000169925
KLF13	ENSG00000169926
FRMPD4	ENSG00000169933
ZFPM2	ENSG00000169946
ZNF764	ENSG00000169951
HSFY2	ENSG00000169953
ZNF747	ENSG00000169955
ZNF768	ENSG00000169957
TAS1R3	ENSG00000169962
TMEM42	ENSG00000169964
MAP3K2	ENSG00000169967
PUSL1	ENSG00000169972
SF3B5	ENSG00000169976
ZNF35	ENSG00000169981
TIGD4	ENSG00000169989
IFFO2	ENSG00000169991
NLGN2	ENSG00000169992
MYO7B	ENSG00000169994
CHD3	ENSG00000170004
TMEM154	ENSG00000170006
MYRIP	ENSG00000170011
ALCAM	ENSG00000170017
YWHAG	ENSG00000170027
UBE2E3	ENSG00000170035
CNTROB	ENSG00000170037
TRAPPC1	ENSG00000170043
ZPLD1	ENSG00000170044
KCNAB3	ENSG00000170049
SERPINA9	ENSG00000170054
FAM153A	ENSG00000170074
GPR37L1	ENSG00000170075
SIMC1	ENSG00000170085
TMEM192	ENSG00000170088
AC106795.1	ENSG00000170089
NSG2	ENSG00000170091
SPDYE5	ENSG00000170092
SERPINA6	ENSG00000170099
ZNF778	ENSG00000170100
NIPA1	ENSG00000170113
FOXD4	ENSG00000170122
GPR25	ENSG00000170128
UBE2E1	ENSG00000170142
HNRNPA3	ENSG00000170144
SIK2	ENSG00000170145
AL391987.1	ENSG00000170152
RNF150	ENSG00000170153
CCDC144A	ENSG00000170160
AL512625.1	ENSG00000170161
VGLL2	ENSG00000170162
HOXD4	ENSG00000170166
CHRNB1	ENSG00000170175
HOXD12	ENSG00000170178
GYPA	ENSG00000170180
USP38	ENSG00000170185
SLC16A5	ENSG00000170190
NANP	ENSG00000170191
ANKK1	ENSG00000170209
ADRA1B	ENSG00000170214
ADPRM	ENSG00000170222
FABP6	ENSG00000170231
PWWP2A	ENSG00000170234
USP50	ENSG00000170236
USP47	ENSG00000170242
PDCD6IP	ENSG00000170248
MRGPRX1	ENSG00000170255
ZNF212	ENSG00000170260
MRAP	ENSG00000170262
FAM161A	ENSG00000170264
ZNF282	ENSG00000170265
GLB1	ENSG00000170266
GON7	ENSG00000170270
FAXDC2	ENSG00000170271
CRTAP	ENSG00000170275
HSPB2	ENSG00000170276
C7orf33	ENSG00000170279
CNGB3	ENSG00000170289
SLN	ENSG00000170290
ELP5	ENSG00000170291
CMTM8	ENSG00000170293
GABARAP	ENSG00000170296
LGALS9B	ENSG00000170298
STX8	ENSG00000170310
CDK1	ENSG00000170312
UBB	ENSG00000170315
NFRKB	ENSG00000170322
FABP4	ENSG00000170323
FRMPD2	ENSG00000170324
PRDM10	ENSG00000170325
B3GNT2	ENSG00000170340
FOS	ENSG00000170345
TMED10	ENSG00000170348
OR2A20P	ENSG00000170356
SETMAR	ENSG00000170364
SMAD1	ENSG00000170365
CST5	ENSG00000170367
CST2	ENSG00000170369
EMX2	ENSG00000170370
CST1	ENSG00000170373
SP7	ENSG00000170374
TCAF2	ENSG00000170379
SEMA3E	ENSG00000170381
LRRN2	ENSG00000170382
SLC30A1	ENSG00000170385
DCLK2	ENSG00000170390
ZNF804A	ENSG00000170396
AC091390.1	ENSG00000170409
GPRC5C	ENSG00000170412
TMEM182	ENSG00000170417
VSTM2A	ENSG00000170419
KRT8	ENSG00000170421
KRT78	ENSG00000170423
ADORA2B	ENSG00000170425
SDR9C7	ENSG00000170426
MGMT	ENSG00000170430
METTL7B	ENSG00000170439
KRT86	ENSG00000170442
HARS1	ENSG00000170445
NFXL1	ENSG00000170448
KRT75	ENSG00000170454
DENND5B	ENSG00000170456
CD14	ENSG00000170458
DNAJC18	ENSG00000170464
KRT6C	ENSG00000170465
RIOX1	ENSG00000170468
SPATA24	ENSG00000170469
RALGAPB	ENSG00000170471
PYM1	ENSG00000170473
MZB1	ENSG00000170476
KRT4	ENSG00000170477
SLC23A1	ENSG00000170482
KRT74	ENSG00000170484
NPAS2	ENSG00000170485
KRT72	ENSG00000170486
KISS1	ENSG00000170498
LONRF2	ENSG00000170500
NUDT9	ENSG00000170502
HSD17B13	ENSG00000170509
PA2G4	ENSG00000170515
COX7B2	ENSG00000170516
ELOVL6	ENSG00000170522
KRT83	ENSG00000170523
PFKFB3	ENSG00000170525
TMC7	ENSG00000170537
ARL6IP1	ENSG00000170540
SERPINB9	ENSG00000170542
SMAGP	ENSG00000170545
IRX1	ENSG00000170549
CDH2	ENSG00000170558
IRX2	ENSG00000170561
EMB	ENSG00000170571
SIX2	ENSG00000170577
DLGAP1	ENSG00000170579
STAT2	ENSG00000170581
NUDCD2	ENSG00000170584
IRF2BP1	ENSG00000170604
OR9K2	ENSG00000170605
HSPA4	ENSG00000170606
FOXA3	ENSG00000170608
FAM71B	ENSG00000170613
SLC26A5	ENSG00000170615
COMMD5	ENSG00000170619
SGCD	ENSG00000170624
GTSF1	ENSG00000170627
DPY19L2P2	ENSG00000170629
ZNF16	ENSG00000170631
ARMC10	ENSG00000170632
RNF34	ENSG00000170633
ACYP2	ENSG00000170634
TRABD	ENSG00000170638
ATF7	ENSG00000170653
RASA4B	ENSG00000170667
SOCS6	ENSG00000170677
CAVIN4	ENSG00000170681
OR10A3	ENSG00000170683
ZNF296	ENSG00000170684
OR5E1P	ENSG00000170688
HOXB9	ENSG00000170689
TTLL6	ENSG00000170703
POLH	ENSG00000170734
SYT9	ENSG00000170743
KCNS3	ENSG00000170745
RBMXL2	ENSG00000170748
KIF5B	ENSG00000170759
GPR37	ENSG00000170775
AKAP13	ENSG00000170776
TPD52L3	ENSG00000170777
CDCA4	ENSG00000170779
OR10A4	ENSG00000170782
SDR16C5	ENSG00000170786
DYDC1	ENSG00000170788
OR10A2	ENSG00000170790
CHCHD7	ENSG00000170791
HTRA3	ENSG00000170801
FOXN2	ENSG00000170802
LMOD2	ENSG00000170807
BFSP2	ENSG00000170819
FSHR	ENSG00000170820
CELP	ENSG00000170827
USP32	ENSG00000170832
CEL	ENSG00000170835
PPM1D	ENSG00000170836
GPR27	ENSG00000170837
AC093323.1	ENSG00000170846
PSG6	ENSG00000170848
KBTBD2	ENSG00000170852
RIOX2	ENSG00000170854
TRIAP1	ENSG00000170855
LILRP2	ENSG00000170858
LSM3	ENSG00000170860
KIAA0232	ENSG00000170871
MTSS1	ENSG00000170873
TMEM43	ENSG00000170876
RNF139	ENSG00000170881
RPS9	ENSG00000170889
PLA2G1B	ENSG00000170890
CYTL1	ENSG00000170891
TSEN34	ENSG00000170892
TRH	ENSG00000170893
GSTA4	ENSG00000170899
MSANTD4	ENSG00000170903
NDUFA3	ENSG00000170906
OSCAR	ENSG00000170909
PAQR8	ENSG00000170915
NUDT6	ENSG00000170917
TPT1-AS1	ENSG00000170919
OR7G3	ENSG00000170920
TANC2	ENSG00000170921
OR7G2	ENSG00000170923
TEX13B	ENSG00000170925
PKHD1	ENSG00000170927
OR1M1	ENSG00000170929
NCBP2L	ENSG00000170935
DNAJC24	ENSG00000170946
MBD3L1	ENSG00000170948
ZNF160	ENSG00000170949
PGK2	ENSG00000170950
OR8B12	ENSG00000170953
ZNF415	ENSG00000170954
CAVIN3	ENSG00000170955
CEACAM3	ENSG00000170956
DCDC1	ENSG00000170959
HAS2	ENSG00000170961
PDGFD	ENSG00000170962
PLAC1	ENSG00000170965
DDI1	ENSG00000170967
LINC00208	ENSG00000170983
S1PR1	ENSG00000170989
HS6ST2	ENSG00000171004
OR4D5	ENSG00000171014
PYGO1	ENSG00000171016
LRRC8E	ENSG00000171017
PKIA	ENSG00000171033
XKR6	ENSG00000171044
TSNARE1	ENSG00000171045
FPR2	ENSG00000171049
FPR1	ENSG00000171051
PATE1	ENSG00000171053
OR13H1	ENSG00000171054
FEZ2	ENSG00000171055
SOX7	ENSG00000171056
C8orf74	ENSG00000171060
C11orf24	ENSG00000171067
FAM86JP	ENSG00000171084
ALK	ENSG00000171094
KYAT1	ENSG00000171097
MTM1	ENSG00000171100
SIGLEC17P	ENSG00000171101
OBP2B	ENSG00000171102
TRMT61B	ENSG00000171103
INSR	ENSG00000171105
MFN1	ENSG00000171109
